#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,awesome,"is the main graphical user interface and window manager."
,alsa-utils,"is an audio interface for ALSA."
,arandr,"is a UI for screen adjustment."
,atool,"is the extraction and compress main utility for ranger."
,bleachbit,"cleaning utility."
,bluez,"bluetooth stuff."
,bluez-utils,"bluetooth extra stuff."
,cmus,"ncurses music player."
,dmenu,"application launcher for awesome."
,exfat-utils,"exFAT file system utility."
,firefox,"the main browser."
,gimp,"image manipulation."
,gzip,"gunzip support."
,htop,"cool system monitor."
,imagemagick,"image manipulation utility."
,mpv,"is the video player."
,ncdu,"ncurse disk utilization utility."
,neofetch,"terminal awesomeness."
,neovim,"terminal editor."
,noto-fonts,"my main font."
,noto-fonts-emoji,"emoji support."
,ntfs-3g,"NTFS file system support."
,pavucontrol,"gtk pulseaudio GUI."
,pulseaudio,"another audio interface."
,pulseaudio-alsa,"pulseaudio and ALSA connection library."
,ranger,"is an extensive terminal file manager that everyone likes."
,scrot,"can take quick screenshots at your request."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,sxiv,"simple image viewer."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,xclip,"clipboard utility."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-server,"is the graphical server."
,xorg-xinit,"starts the graphical server."
,xorg-xrandr,"monitor and screens handling."
,xwallpaper,"xorg utility for wallpapers."
,zathura,"PDF viewer."
,zathura-pdf-mupdf,"zathura library."
,zip,"creates zip archives."
,zsh,"shell."

# AUR packages
A,anydesk-bin,"remote desktop utility."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
A,nordic-theme-git,"my gtk theme of choice."
A,st-luke-git,"the terminal emulator."

# Compilation needing packages
G,https://github.com/dixiedream/dwm.git,"my custom build of suckless's window manager."
G,https://github.com/dixiedream/herbe.git,"my custom notify-send implementation."
